10th,12th,UG,PG ,outcome
77.9,58.33,62.47,54.42,50-55
92.6,76,61.29,54.5,50-55
75.6,50.92,57.5,51.88,50-55
73.42,64.6,53,58.65,50-55
64.6,71.6,67.11,53,50-55
68.4,76,69.4,53.75,50-55
88.2,79,53,67.25,50-55
91.4,92.2,51.38,72.77,50-55
72.2,60.8,81.17,59.71,55-60
56.5,69.83,67.88,61.29,55-60
72.2,79.75,69,59.5,55-60
85.5,64.17,69.67,58.04,55-60
82.24,66,71,55,55-60
93.8,76.67,55.95,60.75,55-60
74,61,58,61,55-60
57,69.4,73.13,61.75,55-60
60,70,55,57,55-60
73.4,57.33,55.17,61.25,55-60
76.6,60,58.2,59.6,55-60
85.28,57.83,71.5,65.88,55-60
83.04,55,74.16,70,55-60
89.6,65,57.73,57,55-60
90.6,56.5,62.77,61.13,55-60
86.33,74.5,69,58,55-60
80.1,64.58,59,56.5,55-60
67,57,64.1,64.5,55-60
80,79.83,71.88,59.25,55-60
89.1,85.7,73.06,58.13,55-60
84.2,65.23,57.48,74.55,55-60
87.4,60.6,84.75,71.83,60-65
62,66,60.17,72.46,60-65
83.2,66.83,77.6,62.13,60-65
68.4,76.6,72,63,60-65
82,70,72.96,61.71,60-65
85.5,65.6,73.34,62.13,60-65
60.16,64,70,63,60-65
76,70.6,73.53,61.5,60-65
66.5,67,68.19,63.08,60-65
60.8,60.8,69.07,75.67,60-65
66.08,62.17,81.48,75.29,60-65
83.6,82.5,61.25,64.54,60-65
70.03,68,72.91,61.29,60-65
64.6,78.8,74.89,78.58,60-65
64.6,77.6,66.4,61.5,60-65
64.6,68.5,66.4,60.92,60-65
83,75.75,65,62.08,60-65
90.36,73.07,78.83,61.42,60-65
63.86,68.6,77.6,70.58,60-65
70.3,75.8,62.12,61.25,60-65
76,61.33,70.38,61.63,60-65
70.3,78,63.7,65.75,60-65
88,82.83,62.99,66.79,60-65
86.8,80.17,79.5,61.96,60-65
77.9,68.6,67.03,63.21,60-65
68.96,62.67,71.19,66.08,60-65
83.6,63.8,86.16,72.25,60-65
76,60,66.19,60.75,60-65
76,62,63.67,64.38,60-65
78.2,77,84,64.12,60-65
81.7,64.4,68.07,73.38,60-65
89.67,76.17,63.88,64.38,60-65
89.3,76,64.1,72,60-65
87.68,63.83,63.41,63.88,60-65
79.71,74.6,62.37,73.25,60-65
83.36,63.33,62.83,70.13,60-65
76.32,73.17,62.61,64.75,60-65
79.8,61.2,75.9,72.5,60-65
91,80.67,73.13,63.75,60-65
76,69,71,62,60-65
97.8,88.17,70.03,60.63,60-65
94.6,78.08,63,60,60-65
86,81.92,63,68.25,60-65
81.7,61.2,73.64,64.25,60-65
72.83,72.8,67.4,62.65,60-65
84,70.3,62.11,64.13,60-65
88.73,68.31,63.06,74.38,60-65
72.5,76.4,92,62.63,60-65
97.8,72,73.64,60,60-65
77.9,64.2,77.27,69.88,60-65
85.5,91,63,68.75,60-65
74,88.67,85.36,64.63,60-65
95.6,82,64.7,64.41,60-65
72.2,66.4,78,64,60-65
87,74.92,60.64,65,60-65
93,92.2,84.83,64.75,60-65
79.8,76.8,63.8,75,60-65
89.5,60,80,65.2,60-65
91.4,89.5,60.75,82.5,60-65
67.3,69.5,84.5,74.54,65-70
89.3,67.6,73.56,82.67,65-70
90.46,68.58,66.93,71.04,65-70
94,86,67,67,65-70
66.5,70.6,78.5,66,65-70
86,67.2,75,73.7,65-70
72.2,65,73.37,66.46,65-70
70.5,66,76.44,67.46,65-70
81.33,79.17,79.35,68.83,65-70
81.7,85.6,71.3,68.67,65-70
66.56,87.17,74.35,72.92,65-70
79.67,66.4,71.42,68.25,65-70
98,80,78.5,69.3,65-70
89,84.25,66.72,68.38,65-70
83.6,66.33,79.8,67.88,65-70
79.68,66.5,68.28,65.38,65-70
71.2,82.33,69.17,65.5,65-70
81.67,67,84.86,76.88,65-70
78.67,74.43,65.47,80.25,65-70
91.81,71.33,74.5,67.8,65-70
83.6,73.4,70.44,67.88,65-70
65.2,69.75,68.5,65,65-70
83.6,77,76.59,65.88,65-70
82.65,89.5,91.62,67,65-70
78,89.7,82.33,69.88,65-70
87.4,76.8,77.01,67.88,65-70
81,76.5,75.89,67.75,65-70
